Subject,Accuracy,Precision,Recall,F1 Score
subject_01.csv,0.71,0.7514109099339622,0.71,0.6924483495968419
subject_02.csv,0.751269035532995,0.7583629815095093,0.751269035532995,0.7375498149021112
subject_03.csv,0.8184357541899442,0.8592537824515631,0.8184357541899442,0.8235314342739257
subject_04.csv,0.8153846153846154,0.8485142178548467,0.8153846153846154,0.8245461419154755
subject_05.csv,0.8989071038251366,0.9099563404106584,0.8989071038251366,0.9023107302739535
subject_06.csv,0.7423822714681441,0.780085565404125,0.7423822714681441,0.7422175309937322
subject_07.csv,0.46458333333333335,0.46528159236153377,0.46458333333333335,0.4583900801767034
subject_08.csv,0.8507042253521127,0.8743404630350425,0.8507042253521127,0.8600432986727188
subject_09.csv,0.9221902017291066,0.9378129337375902,0.9221902017291066,0.9280935721419977
subject_10.csv,0.8337595907928389,0.8806761917538184,0.8337595907928389,0.8469480977351214
subject_11.csv,0.24246311738293777,0.5501107511102294,0.24246311738293777,0.1904769245191559
subject_12.csv,0.7475728155339806,0.7864366068288613,0.7475728155339806,0.7603987767425798
subject_13.csv,0.8514851485148515,0.9048277544626872,0.8514851485148515,0.8736280776327633
subject_14.csv,0.7275204359673024,0.7490081772761394,0.7275204359673024,0.7249210244499597
subject_15.csv,0.7161803713527851,0.7479026395204205,0.7161803713527851,0.710241222520634
subject_16.csv,0.8308457711442786,0.8569478481798757,0.8308457711442786,0.836951335289969
subject_17.csv,0.783289817232376,0.8207908758437434,0.783289817232376,0.7885912058837016
subject_18.csv,0.8837772397094431,0.9137702444195687,0.8837772397094431,0.8861743529705163
subject_19.csv,0.7901234567901234,0.8337737982182426,0.7901234567901234,0.8007056838242208
subject_20.csv,0.8845208845208845,0.9256169808144925,0.8845208845208845,0.8995461228720866
subject_21.csv,0.760989010989011,0.7894727030178535,0.760989010989011,0.7676976402616011
subject_22.csv,0.45054945054945056,0.5050090736816683,0.45054945054945056,0.4525532096805873
subject_23.csv,0.8595238095238096,0.8805772730639856,0.8595238095238096,0.8674222504404652
subject_24.csv,0.8567961165048543,0.8649600548663495,0.8567961165048543,0.8593856178415483
subject_25.csv,0.7723577235772358,0.8313957363997174,0.7723577235772358,0.7976779437038509
subject_26.csv,0.7547169811320755,0.7711765022593884,0.7547169811320755,0.7536426395630441
subject_27.csv,0.8379052369077307,0.8766349641764867,0.8379052369077307,0.8447320405154478
subject_28.csv,0.7645161290322581,0.8157961970718935,0.7645161290322581,0.7752435091269332
subject_29.csv,0.6522842639593909,0.6961402476177944,0.6522842639593909,0.6412599347064039
subject_30.csv,0.1649763353617309,0.5055073657626884,0.1649763353617309,0.09195685174184413
subject_31.csv,0.6858789625360231,0.7428856105786183,0.6858789625360231,0.7055466614881142
subject_32.csv,0.9515418502202643,0.9596267099265984,0.9515418502202643,0.9545712267684485
subject_33.csv,0.8767123287671232,0.9026257041377906,0.8767123287671232,0.882914755769407
subject_34.csv,0.9050925925925926,0.9240248491371859,0.9050925925925926,0.9106099887796483
subject_35.csv,0.8807588075880759,0.91167594884135,0.8807588075880759,0.8874401898437764
subject_36.csv,0.8742690058479532,0.9012034383253675,0.8742690058479532,0.8795637097642193
