Accuracy,Precision,Recall,F1 Score,Subject,Model,n_estimators,C,kernel
0.7669491525423728,0.7913863504708448,0.7669491525423728,0.750019606514309,subject_01.csv,SVM,,10,rbf
0.84472049689441,0.8645344794998229,0.84472049689441,0.8346766359794906,subject_02.csv,SVM,,10,rbf
0.9055690072639225,0.9160451465922123,0.9055690072639225,0.9047146979228595,subject_03.csv,SVM,,10,rbf
0.9118942731277533,0.9131919528704162,0.9118942731277533,0.9116013276423444,subject_04.csv,SVM,,10,rbf
0.9622641509433962,0.9636342115462537,0.9622641509433962,0.9620974200082963,subject_05.csv,SVM,,10,rbf
0.8679706601466992,0.880129458416638,0.8679706601466992,0.86629462856126,subject_06.csv,SVM,,10,rbf
0.4882032667876588,0.5465333654303001,0.4882032667876588,0.4882035099784001,subject_07.csv,SVM,,10,rbf
0.8773584905660378,0.8981884642261999,0.8773584905660378,0.8742276501366435,subject_08.csv,SVM,,10,rbf
0.9701149425287356,0.9719053008019913,0.9701149425287356,0.970084783341835,subject_09.csv,SVM,,10,rbf
0.8852813852813853,0.9027805029357823,0.8852813852813853,0.8854030432858413,subject_10.csv,SVM,,10,rbf
0.28640776699029125,0.23658710372866348,0.28640776699029125,0.2427579153945379,subject_11.csv,SVM,,10,rbf
0.8831967213114754,0.8982547525474512,0.8831967213114754,0.8872879537218723,subject_12.csv,SVM,,10,rbf
0.9229651162790697,0.9268993296050473,0.9229651162790697,0.9229452113026938,subject_13.csv,SVM,,10,rbf
0.7620192307692307,0.7560216006384223,0.7620192307692307,0.7354886616198736,subject_14.csv,SVM,,10,rbf
0.7995337995337995,0.8544590892504763,0.7995337995337995,0.7913591832582627,subject_15.csv,SVM,,10,rbf
0.9222222222222223,0.9269133380553916,0.9222222222222223,0.922085773362599,subject_16.csv,SVM,,10,rbf
0.9038461538461539,0.9079226349118823,0.9038461538461539,0.9028595329270365,subject_17.csv,SVM,,10,rbf
0.8940936863543788,0.9209301083202358,0.8940936863543788,0.8948907038382741,subject_18.csv,SVM,,10,rbf
0.8658008658008658,0.8931350863456642,0.8658008658008658,0.8719735955297858,subject_19.csv,SVM,,10,rbf
0.9607438016528925,0.9694658925255462,0.9607438016528925,0.9645699389351133,subject_20.csv,SVM,,10,rbf
0.8672768878718535,0.8750287819741518,0.8672768878718535,0.8673776000351672,subject_21.csv,SVM,,10,rbf
0.5253456221198156,0.5713381289498917,0.5253456221198156,0.5241853584053366,subject_22.csv,SVM,,10,rbf
0.9064449064449065,0.9194360931550231,0.9064449064449065,0.9092230446536328,subject_23.csv,SVM,,10,rbf
0.9164926931106472,0.9218198341188254,0.9164926931106472,0.9157289225090507,subject_24.csv,SVM,,10,rbf
0.867579908675799,0.8952125872120043,0.867579908675799,0.8787903630331569,subject_25.csv,SVM,,10,rbf
0.8088578088578089,0.8124100300570889,0.8088578088578089,0.8052314148945355,subject_26.csv,SVM,,10,rbf
0.8955555555555555,0.9087174818240649,0.8955555555555555,0.8993950896838985,subject_27.csv,SVM,,10,rbf
0.8670360110803325,0.878604548282702,0.8670360110803325,0.8708370245599085,subject_28.csv,SVM,,10,rbf
0.767337807606264,0.8052029172084862,0.767337807606264,0.7646548249031464,subject_29.csv,SVM,,10,rbf
0.20724729815638906,0.1442824650688992,0.20724729815638906,0.1298749943801821,subject_30.csv,SVM,,10,rbf
0.8384615384615385,0.8592366916532373,0.8384615384615385,0.8465676183924735,subject_31.csv,SVM,,10,rbf
0.9846153846153847,0.9850716706833483,0.9846153846153847,0.984612601871621,subject_32.csv,SVM,,10,rbf
0.9016393442622951,0.9203129012799149,0.9016393442622951,0.9027683841003804,subject_33.csv,SVM,,10,rbf
0.9666011787819253,0.9699245164116586,0.9666011787819253,0.9673392679197195,subject_34.csv,SVM,,10,rbf
0.9302884615384616,0.9355053693014624,0.9302884615384616,0.9308985746824595,subject_35.csv,SVM,,10,rbf
0.9312977099236641,0.9362847193569603,0.9312977099236641,0.9307833314618005,subject_36.csv,SVM,,10,rbf
