Subject,n_estimators,Accuracy,Precision,Recall,F1 Score
subject_01.csv,200,0.7627118644067796,0.7896533345902963,0.7627118644067796,0.7451079165107698
subject_02.csv,200,0.8219461697722568,0.8368954412195816,0.8219461697722568,0.8131185022710722
subject_03.csv,200,0.9225181598062954,0.9350939757019802,0.9225181598062954,0.9233602678444096
subject_04.csv,200,0.9118942731277533,0.911142475126865,0.9118942731277533,0.9113963324171608
subject_05.csv,200,0.9693396226415094,0.9696736188002953,0.9693396226415094,0.9693927372621242
subject_06.csv,200,0.863080684596577,0.8805071969595237,0.863080684596577,0.8652026106197147
subject_07.csv,200,0.4591651542649728,0.5130832016280932,0.4591651542649728,0.4502917457127523
subject_08.csv,200,0.8891509433962265,0.906956496655576,0.8891509433962265,0.8855210363314107
subject_09.csv,200,0.9701149425287356,0.9713147274967078,0.9701149425287356,0.9701862041027896
subject_10.csv,200,0.9177489177489178,0.9179564282701634,0.9177489177489178,0.9139564503179297
subject_11.csv,200,0.28640776699029125,0.2412119222971937,0.28640776699029125,0.2467059680347857
subject_12.csv,200,0.9077868852459017,0.9277524163262506,0.9077868852459017,0.9126278506923464
subject_13.csv,200,0.9156976744186046,0.9294755336143259,0.9156976744186046,0.9167650881249181
subject_14.csv,200,0.7644230769230769,0.7691406007206877,0.7644230769230769,0.7467162739723364
subject_15.csv,200,0.8648018648018648,0.8949699258675093,0.8648018648018648,0.8563773070287483
subject_16.csv,200,0.9266666666666666,0.9297563736750815,0.9266666666666666,0.9269366638781036
subject_17.csv,200,0.9017094017094017,0.9062935652482993,0.9017094017094017,0.9024209026856119
subject_18.csv,200,0.9470468431771895,0.9592095680231464,0.9470468431771895,0.9477458002843476
subject_19.csv,200,0.9004329004329005,0.9218502939121124,0.9004329004329005,0.9042306844566185
subject_20.csv,200,0.9628099173553719,0.9686005476231868,0.9628099173553719,0.9645343789971889
subject_21.csv,200,0.9107551487414187,0.9149715329136827,0.9107551487414187,0.9108858821756529
subject_22.csv,200,0.5529953917050692,0.6094274460364472,0.5529953917050692,0.5572068204209083
subject_23.csv,200,0.9293139293139293,0.9350450900450901,0.9293139293139293,0.9302993475672553
subject_24.csv,200,0.906054279749478,0.9130384973936791,0.906054279749478,0.9045627645986793
subject_25.csv,200,0.8789954337899544,0.8914479405368698,0.8789954337899544,0.8805290399270658
subject_26.csv,200,0.7925407925407926,0.7898471355187773,0.7925407925407926,0.7867750514430646
subject_27.csv,200,0.9266666666666666,0.939126748451258,0.9266666666666666,0.9317656134859436
subject_28.csv,200,0.8614958448753463,0.8760865337571548,0.8614958448753463,0.8655272302811734
subject_29.csv,200,0.7740492170022372,0.7935580542161099,0.7740492170022372,0.7579768624628521
subject_30.csv,200,0.2129688493324857,0.1454017022732912,0.2129688493324857,0.13029752563008332
subject_31.csv,200,0.8307692307692308,0.8455939485351249,0.8307692307692308,0.8354877073422761
subject_32.csv,200,0.9865384615384616,0.9869911833569094,0.9865384615384616,0.986473413045
subject_33.csv,200,0.9110070257611241,0.9350296432263645,0.9110070257611241,0.9116862364748617
subject_34.csv,200,0.9803536345776032,0.982810791749888,0.9803536345776032,0.9813030805426287
subject_35.csv,200,0.9326923076923077,0.9398450324360973,0.9326923076923077,0.9348027878893402
subject_36.csv,200,0.9491094147582697,0.955017885016602,0.9491094147582697,0.9496054821380918
